TEXAS_COUNTYS,DEMOCRATIC,REPUBLICAN
P101,4512,932
P102,672,178
P103,861,286
P104,686,282
P105,6764,2116
P106,1699,1308
P107,155,188
P108,1007,226
P109,1481,503
P110,4280,1864
P111,2771,907
P112,1138,346
P113,4827,1742
P114,130,69
P115,0,0
P116,0,0
P117,2225,292
P118,377,47
P119,0,0
P120,200,57
P121,822,120
P122,2095,162
P123,4695,2361
P124,3724,399
P125,1,1
P126,4129,321
P127,0,0
P128,0,0
P129,2121,176
P130,1484,162
P131,1,0
P132,2064,201
P133,1726,203
P134,0,0
P135,6164,737
P136,1473,929
P137,6211,3799
P138,0,0
P139,2006,436
P140,1191,244
P141,347,58
P142,891,88
P145,1458,579
P146,1507,855
P148,2608,1067
P149,1449,160
P150,949,785
P151,1760,188
P152,2891,159
P153,3724,1192
P154,2738,819
P156,4399,620
P160,1276,608
P161,1137,560
P163,110,189
P164,1004,257
P200,4124,500
P202,2455,304
P203,1051,446
P205,1806,448
P206,1125,190
P207,3068,1048
P208,2483,413
P209,623,176
P210,1035,473
P211,1247,364
P212,2051,1766
P213,0,0
P214,1654,654
P215,1374,510
P216,1448,394
P217,1360,351
P218,4304,1219
P219,1708,819
P220,1130,462
P221,480,361
P222,1690,453
P223,370,93
P224,109,22
P225,2724,899
P226,1599,514
P227,554,302
P228,1211,472
P229,1201,384
P231,1754,717
P232,3168,3163
P233,2060,1318
P234,1128,985
P235,2455,285
P236,2401,353
P237,1378,508
P238,1934,495
P239,1825,345
P240,728,213
P241,1577,254
P242,4767,661
P243,1326,287
P244,2079,1527
P245,600,436
P246,1198,374
P247,455,257
P248,1770,334
P249,2005,638
P250,3854,943
P251,2126,641
P252,1847,407
P253,1797,824
P254,1861,666
P256,1195,691
P258,1577,531
P259,1802,567
P260,973,214
P262,2911,918
P263,1911,573
P266,297,153
P267,928,344
P268,743,214
P273,2333,401
P274,1993,252
P275,2607,274
P277,4670,880
P301,956,321
P302,2079,1085
P303,1621,1055
P304,2501,1062
P305,3,4
P306,1329,1784
P307,743,441
P308,2501,4148
P309,1691,664
P310,3908,1777
P311,3521,601
P312,901,944
P313,278,38
P314,3148,2533
P315,2409,1196
P316,2372,2528
P317,1599,914
P318,524,270
P319,937,1206
P320,816,1018
P321,403,185
P323,1458,379
P324,2988,2952
P325,70,29
P326,1552,656
P327,1771,823
P328,2366,825
P329,3050,1253
P330,1510,1131
P331,1652,682
P332,2194,318
P333,1747,803
P334,1610,1011
P335,1457,674
P336,1300,575
P337,2479,1093
P338,2789,1747
P339,1176,430
P340,2614,592
P341,256,100
P342,3501,601
P343,1642,770
P344,1220,285
P345,0,0
P346,2025,3101
P347,1466,811
P349,3338,1338
P350,2824,821
P351,1170,354
P352,2372,558
P354,2631,1306
P356,1320,313
P357,340,189
P358,3111,867
P359,2557,2419
P360,2700,952
P361,680,486
P362,1844,629
P363,940,412
P364,2049,1105
P365,1412,892
P366,3040,1249
P367,4041,1892
P368,151,199
P369,2813,2936
P370,491,835
P371,1121,1766
P372,695,972
P373,1823,3529
P374,2986,2585
P375,367,464
P401,1404,586
P402,2044,688
P403,624,398
P404,3406,874
P405,1131,302
P406,1669,984
P407,2142,415
P408,2287,712
P409,1514,225
P410,2220,408
P411,1489,444
P412,91,19
P413,1396,285
P414,2498,784
P415,799,219
P416,434,128
P417,1442,379
P418,1,2
P419,304,135
P420,2025,306
P421,1971,357
P422,1630,217
P423,2486,409
P424,1846,312
P425,433,114
P426,2228,256
P427,1875,220
P428,1043,421
P429,4772,767
P430,1013,113
P431,4137,514
P432,2,0
P433,1916,255
P434,0,0
P435,3728,1098
P436,293,18
P437,1745,226
P438,1347,189
P439,2820,282
P440,770,186
P441,2810,534
P442,1038,195
P443,2047,397
P444,168,19
P446,739,105
P447,2620,505
P448,1716,325
P450,3051,688
P451,2196,445
P452,1282,250
P454,1339,374
458,2495,618
460,2313,475
461,3755,652
463,2410,567
